,locus_tag,protein_id,name
495,I6J27_02550,QRP19313,MGMT family protein
496,I6J27_02555,QRP19314,VOC family protein
497,I6J27_02560,QRP19315,RNA-binding S4 domain-containing protein
498,I6J27_02565,QRP19316,esterase
499,I6J27_02570,QRP19317,YbjQ family protein
500,I6J27_02575,QRP19318,DUF2218 domain-containing protein
501,I6J27_02580,QRP19319,LysE family translocator
502,I6J27_02585,QRP19320,choline dehydrogenase
503,I6J27_02590,QRP19321,choline BCCT transporter BetT
504,I6J27_02595,QRP19322,aldehyde dehydrogenase family protein
505,I6J27_02600,506,SDR family oxidoreductase
506,I6J27_02605,QRP19323,NAD(P)H-dependent oxidoreductase
507,I6J27_02610,QRP19324,alpha-ketoglutarate-dependent dioxygenase AlkB
508,I6J27_02615,QRP19325,sugar O-acetyltransferase
509,I6J27_02620,QRP19326,ATP-dependent RNA helicase
510,I6J27_02625,QRP19327,TSUP family transporter
511,I6J27_02630,QRP19328,AbrB family transcriptional regulator
512,I6J27_02635,QRP19329,DUF885 domain-containing protein
513,I6J27_02640,QRP19330,TIGR00730 family Rossman fold protein
514,I6J27_02645,QRP19331,NAD-dependent deacylase
515,I6J27_02650,QRP19332,ROK family transcriptional regulator
516,I6J27_02655,QRP19333,HAD family phosphatase
517,I6J27_02660,QRP19334,hypothetical protein
518,I6J27_02665,QRP19335,ferritin
519,I6J27_02670,QRP19336,HtaA domain-containing protein
520,I6J27_02675,QRP19337,biliverdin-producing heme oxygenase
521,I6J27_02680,QRP19338,SulP family inorganic anion transporter
522,I6J27_02685,QRP19339,phosphoribosyltransferase
523,I6J27_02690,QRP19340,AMP nucleosidase
524,I6J27_02695,QRP19341,MarR family transcriptional regulator
525,I6J27_02700,QRP19342,organic hydroperoxide resistance protein
526,I6J27_02705,QRP19343,triacylglycerol lipase
527,I6J27_02710,QRP20103,HtaA domain-containing protein
528,I6J27_02715,QRP19344,heme ABC transporter ATP-binding protein
529,I6J27_02720,QRP19345,iron ABC transporter permease
530,I6J27_02725,QRP19346,ABC transporter substrate-binding protein
531,I6J27_02730,QRP19347,HtaA domain-containing protein
532,I6J27_02735,QRP19348,hypothetical protein
533,I6J27_02740,QRP19349,NAD-dependent protein deacetylase
534,I6J27_02745,QRP19350,hypothetical protein
535,I6J27_02750,QRP19351,biotin synthase BioB
536,I6J27_02755,QRP19352,M20/M25/M40 family metallo-hydrolase
537,I6J27_02760,QRP19353,HNH endonuclease
538,I6J27_02765,QRP19354,hypothetical protein
539,I6J27_02770,QRP19355,hypothetical protein
540,I6J27_02775,QRP19356,IS21 family transposase
541,I6J27_02780,QRP19357,ATP-binding protein
542,I6J27_02785,QRP19358,hypothetical protein
543,I6J27_02790,QRP19359,helix-turn-helix transcriptional regulator
544,I6J27_02795,QRP19360,ABC transporter permease
545,I6J27_02800,QRP19361,ABC transporter ATP-binding protein
546,I6J27_02805,QRP19362,NUDIX domain-containing protein
547,I6J27_02810,QRP19363,hypothetical protein
548,I6J27_02815,QRP19364,hypothetical protein
549,I6J27_02820,QRP19365,type 1 glutamine amidotransferase
550,I6J27_02825,QRP19366,DUF5129 domain-containing protein
551,I6J27_02830,QRP19367,hypothetical protein
552,I6J27_02835,553,hypothetical protein
553,I6J27_02840,QRP19368,hypothetical protein
554,I6J27_02845,QRP19369,response regulator transcription factor
555,I6J27_02850,QRP19370,two-component sensor histidine kinase
556,I6J27_02855,QRP19371,ATP-binding cassette domain-containing protein
557,I6J27_02860,QRP19372,ABC transporter permease
558,I6J27_02865,QRP19373,hypothetical protein
559,I6J27_02870,QRP19374,MFS transporter
560,I6J27_02875,QRP19375,adenosylmethionine--8-amino-7-oxononanoate transaminase
561,I6J27_02880,QRP19376,ATP-dependent dethiobiotin synthetase BioD
562,I6J27_02885,563,transposase
563,I6J27_02890,564,IS3 family transposase
564,I6J27_02895,565,transposase
565,I6J27_02900,QRP19377,hypothetical protein
566,I6J27_02905,QRP19378,ribonuclease PH
567,I6J27_02910,QRP20104,recombinase family protein
568,I6J27_02915,QRP19379,MFS transporter
569,I6J27_02920,QRP19380,TetR family transcriptional regulator
570,I6J27_02925,QRP19381,IS3 family transposase
571,I6J27_02930,QRP19382,IS3 family transposase
572,I6J27_02935,573,transposase
573,I6J27_02940,QRP19383,MFS transporter
574,I6J27_02945,QRP19384,IS21 family transposase
575,I6J27_02950,QRP19385,ATP-binding protein
576,I6J27_02955,QRP19386,hypothetical protein
577,I6J27_02960,QRP19387,hypothetical protein
578,I6J27_02965,QRP19388,hypothetical protein
579,I6J27_02970,QRP19389,IS3 family transposase
580,I6J27_02975,QRP19390,IS3 family transposase
581,I6J27_02980,582,3'-5' exonuclease
582,I6J27_02985,583,multicopper oxidase family protein
583,I6J27_02990,QRP19391,CueP family metal-binding protein
584,I6J27_02995,QRP19392,response regulator transcription factor
585,I6J27_03000,QRP19393,HAMP domain-containing histidine kinase
586,I6J27_03005,QRP19394,heavy-metal-associated domain-containing protein
587,I6J27_03010,QRP19395,copper-translocating P-type ATPase
588,I6J27_03015,QRP19396,YdhK family protein
589,I6J27_03020,590,IS6 family transposase
590,I6J27_03025,QRP19397,cadmium resistance transporter
591,I6J27_03030,QRP19398,winged helix-turn-helix transcriptional regulator
592,I6J27_03035,593,recombinase family protein
593,I6J27_03040,594,IS6 family transposase
594,I6J27_03050,QRP19399,DUF3662 and FHA domain-containing protein
595,I6J27_03055,QRP19400,FHA domain-containing protein
596,I6J27_03060,QRP19401,serine/threonine-protein phosphatase
597,I6J27_03065,QRP19402,FtsW/RodA/SpoVE family cell cycle protein
598,I6J27_03070,QRP19403,penicillin-binding protein 2
599,I6J27_03075,QRP19404,serine/threonine protein kinase
600,I6J27_03080,QRP19405,Stk1 family PASTA domain-containing Ser/Thr kinase
601,I6J27_03085,QRP19406,cell division protein CrgA
602,I6J27_03090,QRP19407,two-component sensor histidine kinase
603,I6J27_03095,QRP19408,hypothetical protein
604,I6J27_03100,QRP19409,response regulator transcription factor
605,I6J27_03105,QRP19410,hypothetical protein
606,I6J27_03110,QRP19411,hypothetical protein
607,I6J27_03115,QRP19412,hypothetical protein
608,I6J27_03120,QRP19413,rhomboid family intramembrane serine protease
609,I6J27_03125,QRP19414,peptidylprolyl isomerase
610,I6J27_03130,QRP19415,HAD family hydrolase
611,I6J27_03135,QRP19416,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
612,I6J27_03140,QRP19417,methylenetetrahydrofolate reductase
613,I6J27_03145,QRP19418,hypothetical protein
614,I6J27_03150,QRP19419,hypothetical protein
615,I6J27_03155,QRP19420,ABC transporter ATP-binding protein
616,I6J27_03160,QRP19421,ABC transporter ATP-binding protein
617,I6J27_03165,QRP19422,GNAT family N-acetyltransferase
618,I6J27_03175,QRP20105,hypothetical protein
619,I6J27_03180,QRP19423,polysaccharide deacetylase family protein
620,I6J27_03185,QRP19424,DNA-3-methyladenine glycosylase
621,I6J27_03190,QRP19425,MarR family transcriptional regulator
622,I6J27_03195,QRP19426,succinate--CoA ligase subunit alpha
623,I6J27_03200,QRP19427,ADP-forming succinate--CoA ligase subunit beta
624,I6J27_03215,QRP19428,DUF3566 domain-containing protein
625,I6J27_03220,QRP19429,DNA gyrase subunit A
626,I6J27_03225,QRP19430,CopG family transcriptional regulator
627,I6J27_03230,QRP19431,cell filamentation protein Fic
628,I6J27_03235,QRP19432,hypothetical protein
629,I6J27_03240,QRP19433,nitroreductase family protein
630,I6J27_03245,QRP19434,DNA topoisomerase (ATP-hydrolyzing) subunit B
631,I6J27_03250,QRP19435,DUF721 domain-containing protein
632,I6J27_03255,QRP19436,DNA replication/repair protein RecF
633,I6J27_03260,QRP19437,DNA polymerase III subunit beta
634,I6J27_03265,QRP19438,chromosomal replication initiator protein DnaA
635,I6J27_03270,QRP19439,50S ribosomal protein L34
636,I6J27_03275,QRP19440,ribonuclease P protein component
637,I6J27_03280,QRP19441,membrane protein insertion efficiency factor YidD
638,I6J27_03285,QRP19442,membrane protein insertase YidC
639,I6J27_03290,QRP19443,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
640,I6J27_03295,QRP19444,ParA family protein
641,I6J27_03300,QRP19445,ParB/RepB/Spo0J family partition protein
642,I6J27_03305,QRP19446,hypothetical protein
643,I6J27_03310,QRP19447,N-acetylmuramoyl-L-alanine amidase
644,I6J27_03315,QRP19448,thioredoxin
645,I6J27_03320,QRP19449,thioredoxin-disulfide reductase
646,I6J27_03325,QRP19450,sigma-70 family RNA polymerase sigma factor
647,I6J27_03330,QRP19451,aminopeptidase N
648,I6J27_03335,QRP19452,polyisoprenoid-binding protein
649,I6J27_03340,QRP19453,murein biosynthesis integral membrane protein MurJ
650,I6J27_03345,QRP19454,hypothetical protein
651,I6J27_03350,QRP19455,NUDIX hydrolase
652,I6J27_03355,QRP19456,CCA tRNA nucleotidyltransferase
653,I6J27_03360,QRP19457,YqgE/AlgH family protein
654,I6J27_03365,QRP19458,AzlC family ABC transporter permease
655,I6J27_03370,QRP19459,AzlD domain-containing protein
656,I6J27_03375,QRP19460,hypothetical protein
657,I6J27_03380,QRP19461,bile acid:sodium symporter
658,I6J27_03385,QRP19462,NADH:flavin oxidoreductase/NADH oxidase
659,I6J27_03390,QRP19463,Rieske (2Fe-2S) protein
660,I6J27_03395,QRP19464,hypothetical protein
661,I6J27_03400,QRP19465,SdpI family protein
662,I6J27_03405,QRP19466,dicarboxylate/amino acid:cation symporter
663,I6J27_03410,QRP19467,tryptophan synthase subunit alpha
664,I6J27_03415,QRP19468,tryptophan synthase subunit beta
665,I6J27_03420,QRP19469,bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF
666,I6J27_03425,QRP19470,anthranilate phosphoribosyltransferase
667,I6J27_03430,QRP19471,anthranilate synthase component II
668,I6J27_03435,QRP19472,anthranilate synthase component 1
669,I6J27_03440,QRP19473,hypothetical protein
670,I6J27_03445,QRP19474,FAD-dependent monooxygenase
671,I6J27_03450,QRP19475,MHS family MFS transporter
672,I6J27_03455,QRP19476,fumarylacetoacetate hydrolase family protein
673,I6J27_03460,QRP19477,GntR family transcriptional regulator
674,I6J27_03465,QRP19478,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
675,I6J27_03470,QRP19479,"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
676,I6J27_03475,QRP19480,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase"
677,I6J27_03480,QRP19481,HpcH/HpaI aldolase/citrate lyase family protein
678,I6J27_03485,QRP19482,NAD-dependent succinate-semialdehyde dehydrogenase
679,I6J27_03490,QRP19483,excalibur calcium-binding domain-containing protein
680,I6J27_03495,QRP19484,helix-turn-helix domain-containing protein
681,I6J27_03500,QRP19485,aldehyde dehydrogenase family protein
682,I6J27_03505,QRP19486,hypothetical protein
683,I6J27_03510,QRP19487,zeta toxin family protein
684,I6J27_03515,685,recombinase family protein
685,I6J27_03520,QRP20106,hypothetical protein
686,I6J27_03525,QRP19488,hypothetical protein
687,I6J27_03530,QRP19489,ATP-binding cassette domain-containing protein
688,I6J27_03535,QRP19490,cadmium-translocating P-type ATPase
689,I6J27_03540,QRP19491,winged helix-turn-helix transcriptional regulator
690,I6J27_03545,QRP19492,HigA family addiction module antidote protein
691,I6J27_03550,QRP19493,aminoacyl-tRNA hydrolase
692,I6J27_03555,QRP19494,putative glycolipid-binding domain-containing protein
693,I6J27_03560,694,Fic family protein
694,I6J27_03565,QRP19495,putative DNA binding domain-containing protein
695,I6J27_03570,QRP19496,MOSC domain-containing protein
696,I6J27_03575,QRP19497,hypothetical protein
697,I6J27_03580,QRP19498,helix-turn-helix transcriptional regulator
698,I6J27_03585,QRP20107,Fic family protein
699,I6J27_03590,QRP20279,hypothetical protein
700,I6J27_03595,QRP19499,CueP family metal-binding protein
701,I6J27_03600,702,SAM-dependent DNA methyltransferase
702,I6J27_03605,QRP19500,restriction endonuclease subunit S
703,I6J27_03610,QRP19501,restriction endonuclease
704,I6J27_03615,QRP19502,excisionase family DNA-binding protein
705,I6J27_03620,QRP19503,PIN domain-containing protein
706,I6J27_03625,707,DEAD/DEAH box helicase family protein
707,I6J27_03630,708,IS1634 family transposase
708,I6J27_03635,QRP19504,hypothetical protein
709,I6J27_03640,QRP19505,alkylphosphonate utilization protein
710,I6J27_03645,QRP19506,toxin-antitoxin system
711,I6J27_03650,QRP19507,type II toxin-antitoxin system VapC family toxin
712,I6J27_03655,QRP19508,leucine--tRNA ligase
713,I6J27_03660,QRP19509,DUF2339 domain-containing protein
714,I6J27_03665,QRP19510,hypothetical protein
715,I6J27_03670,QRP19511,FAD-binding dehydrogenase
716,I6J27_03675,QRP19512,phenylacetic acid degradation bifunctional protein PaaZ
717,I6J27_03680,QRP19513,PaaI family thioesterase
718,I6J27_03685,QRP19514,hypothetical protein
719,I6J27_03690,QRP19515,3-hydroxyacyl-CoA dehydrogenase family protein
720,I6J27_03695,QRP19516,enoyl-CoA hydratase/isomerase family protein
721,I6J27_03700,QRP19517,acetyl-CoA C-acyltransferase
722,I6J27_03705,QRP19518,enoyl-CoA hydratase/isomerase family protein
723,I6J27_03710,QRP19519,phenylacetate-CoA oxygenase/reductase subunit PaaK
724,I6J27_03715,QRP19520,phenylacetate-CoA oxygenase subunit PaaJ
725,I6J27_03720,QRP19521,phenylacetate-CoA oxygenase subunit PaaC
726,I6J27_03725,QRP19522,"1,2-phenylacetyl-CoA epoxidase subunit B"
727,I6J27_03730,QRP20108,"1,2-phenylacetyl-CoA epoxidase subunit A"
728,I6J27_03735,QRP19523,hotdog fold thioesterase
729,I6J27_03740,QRP19524,TetR family transcriptional regulator
730,I6J27_03745,QRP19525,AMP-binding protein
731,I6J27_03750,QRP19526,MHS family MFS transporter
732,I6J27_03755,QRP19527,hypothetical protein
733,I6J27_03760,QRP19528,acryloyl-CoA reductase
734,I6J27_03765,QRP19529,VanZ family protein
735,I6J27_03770,QRP19530,NAD(P)-binding domain-containing protein
736,I6J27_03775,QRP19531,response regulator transcription factor
737,I6J27_03780,QRP20109,sensor histidine kinase
738,I6J27_03785,QRP19532,ABC transporter permease
739,I6J27_03790,QRP19533,ABC transporter ATP-binding protein
740,I6J27_03795,QRP19534,hypothetical protein
741,I6J27_03800,QRP19535,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
742,I6J27_03805,QRP19536,Fpg/Nei family DNA glycosylase
743,I6J27_03810,QRP19537,DUF1846 domain-containing protein
744,I6J27_03815,QRP19538,rhodanese-related sulfurtransferase
745,I6J27_03820,QRP19539,hypothetical protein
746,I6J27_03825,QRP19540,universal stress protein
747,I6J27_03830,QRP19541,winged helix-turn-helix transcriptional regulator
748,I6J27_03835,QRP19542,DUF5318 family protein
749,I6J27_03840,QRP19543,penicillin-binding protein
750,I6J27_03845,QRP20110,DUF2029 domain-containing protein
751,I6J27_03850,QRP19544,hypothetical protein
752,I6J27_03855,QRP19545,30S ribosomal protein S6
753,I6J27_03860,QRP19546,single-stranded DNA-binding protein
754,I6J27_03865,QRP19547,50S ribosomal protein L9
755,I6J27_03870,QRP19548,replicative DNA helicase
756,I6J27_03875,QRP19549,alpha/beta fold hydrolase
757,I6J27_03880,758,transposase
758,I6J27_03885,QRP19550,ATP-binding protein
759,I6J27_03890,QRP19551,IS21 family transposase
760,I6J27_03895,761,IS1634 family transposase
761,I6J27_03900,QRP19552,VanZ family protein
762,I6J27_03905,QRP19553,MFS transporter
763,I6J27_03910,QRP19554,cadmium-translocating P-type ATPase
764,I6J27_03915,QRP19555,heavy-metal-associated domain-containing protein
765,I6J27_03920,QRP19556,thioredoxin
766,I6J27_03925,QRP19557,PspA/IM30 family protein
767,I6J27_03930,QRP19558,NYN domain-containing protein
768,I6J27_03935,QRP19559,GntR family transcriptional regulator
769,I6J27_03940,QRP19560,ABC transporter ATP-binding protein
770,I6J27_03945,QRP19561,hypothetical protein
771,I6J27_03965,QRP19562,23S rRNA pseudouridylate synthase
772,I6J27_03970,QRP19563,hypothetical protein
773,I6J27_03975,QRP19564,universal stress protein
774,I6J27_03980,QRP19565,GlsB/YeaQ/YmgE family stress response membrane protein
775,I6J27_03985,QRP19566,TetR/AcrR family transcriptional regulator
776,I6J27_03990,QRP19567,membrane protein insertase YidC
777,I6J27_03995,QRP19568,class E sortase
778,I6J27_04000,QRP19569,hypothetical protein
779,I6J27_04005,QRP19570,DUF2020 domain-containing protein
780,I6J27_04010,QRP19571,sensor histidine kinase
781,I6J27_04015,QRP19572,response regulator transcription factor
782,I6J27_04020,QRP19573,hypothetical protein
783,I6J27_04025,QRP19574,TM0106 family RecB-like putative nuclease
784,I6J27_04030,QRP20111,copper oxidase
785,I6J27_04035,QRP19575,MFS transporter
786,I6J27_04040,QRP19576,LysR family transcriptional regulator
787,I6J27_04045,QRP19577,superoxide dismutase
788,I6J27_04050,QRP19578,peptide-methionine (S)-S-oxide reductase MsrA
789,I6J27_04055,QRP19579,alpha/beta-hydrolase family protein
790,I6J27_04060,QRP19580,L-lactate dehydrogenase
791,I6J27_04065,QRP19581,glycerophosphodiester phosphodiesterase
792,I6J27_04070,QRP19582,preprotein translocase subunit SecA
793,I6J27_04075,QRP19583,LCP family protein
794,I6J27_04080,QRP19584,CPBP family intramembrane metalloprotease
795,I6J27_04085,QRP19585,amidase
796,I6J27_04090,QRP19586,prephenate dehydratase
797,I6J27_04095,QRP19587,histidine phosphatase family protein
798,I6J27_04100,QRP19588,metallopeptidase family protein
799,I6J27_04105,QRP19589,septum formation family protein
800,I6J27_04110,QRP19590,GntR family transcriptional regulator
801,I6J27_04115,QRP19591,serine--tRNA ligase
802,I6J27_04120,QRP19592,1-acyl-sn-glycerol-3-phosphate acyltransferase
803,I6J27_04125,QRP19593,glycerol-3-phosphate dehydrogenase/oxidase
804,I6J27_04130,QRP19594,aquaporin family protein
805,I6J27_04135,QRP19595,glycerol kinase GlpK
806,I6J27_04140,QRP19596,HAD family hydrolase
807,I6J27_04145,QRP19597,N-acetylmuramoyl-L-alanine amidase
808,I6J27_04150,QRP19598,UDP-galactopyranose mutase
809,I6J27_04155,QRP19599,hypothetical protein
810,I6J27_04160,QRP19600,carbon starvation protein A
811,I6J27_04165,QRP19601,DNA helicase
812,I6J27_04170,QRP20112,ArsA family ATPase
813,I6J27_04175,QRP19602,hypothetical protein
814,I6J27_04180,QRP20113,hypothetical protein
815,I6J27_04185,QRP19603,hypothetical protein
816,I6J27_04190,QRP19604,hypothetical protein
817,I6J27_04195,QRP19605,type I restriction endonuclease subunit R
818,I6J27_04200,QRP19606,ISL3 family transposase
819,I6J27_04205,QRP19607,restriction endonuclease subunit S
820,I6J27_04210,QRP19608,type I restriction-modification system subunit M
821,I6J27_04215,QRP19609,hypothetical protein
822,I6J27_04220,QRP19610,protein tyrosine phosphatase
823,I6J27_04225,QRP20114,glycosyltransferase
824,I6J27_04230,QRP19611,phosphatase PAP2 family protein
825,I6J27_04235,QRP19612,decaprenyl-phosphate phosphoribosyltransferase
826,I6J27_04240,QRP19613,hypothetical protein
827,I6J27_04245,QRP19614,esterase family protein
828,I6J27_04250,QRP19615,hypothetical protein
829,I6J27_04255,QRP19616,hypothetical protein
830,I6J27_04260,QRP19617,cutinase family protein
831,I6J27_04265,QRP19618,AMP-binding protein
832,I6J27_04270,QRP19619,type I polyketide synthase
833,I6J27_04275,QRP19620,acyl-CoA carboxylase subunit beta
834,I6J27_04280,QRP19621,4Fe-4S binding protein
835,I6J27_04285,QRP19622,hypothetical protein
836,I6J27_04290,QRP19623,MFS transporter
837,I6J27_04295,QRP19624,ATP-grasp domain-containing protein
838,I6J27_04300,QRP19625,IS3 family transposase
839,I6J27_04305,QRP19626,hypothetical protein
840,I6J27_04310,QRP19627,IS21 family transposase
841,I6J27_04315,QRP19628,ATP-binding protein
842,I6J27_04320,QRP19629,hypothetical protein
843,I6J27_04325,QRP19630,ATP-grasp domain-containing protein
844,I6J27_04330,QRP19631,DUF3054 domain-containing protein
845,I6J27_04335,QRP19632,UPF0104 family protein
846,I6J27_04340,QRP19633,MMPL family transporter
847,I6J27_04345,QRP19634,NYN domain-containing protein
848,I6J27_04350,QRP19635,tRNA (guanosine(46)-N7)-methyltransferase TrmB
849,I6J27_04355,QRP19636,phosphoenolpyruvate carboxykinase (GTP)
850,I6J27_04360,QRP19637,class I SAM-dependent methyltransferase
851,I6J27_04365,QRP19638,glycosyltransferase family 4 protein
852,I6J27_04370,QRP19639,hypothetical protein
853,I6J27_04375,QRP19640,DUF3068 domain-containing protein
854,I6J27_04380,QRP19641,acyltransferase
855,I6J27_04385,QRP19642,DUF3367 domain-containing protein
856,I6J27_04390,QRP19643,DUF2613 domain-containing protein
857,I6J27_04395,QRP19644,universal stress protein
858,I6J27_04400,QRP20115,glycoside hydrolase family 3 protein
859,I6J27_04405,QRP19645,VanW family protein
860,I6J27_04410,861,ABC transporter ATP-binding protein
861,I6J27_04415,QRP19646,IS110 family transposase
862,I6J27_04420,QRP19647,SpaH/EbpB family LPXTG-anchored major pilin
863,I6J27_04425,QRP19648,class C sortase
864,I6J27_04430,QRP19649,surface anchored protein
865,I6J27_04435,QRP19650,LPXTG cell wall anchor domain-containing protein
866,I6J27_04440,QRP19651,class C sortase
867,I6J27_04445,QRP19652,IS21 family transposase
868,I6J27_04450,QRP19653,ATP-binding protein
869,I6J27_04460,QRP19654,dCTP deaminase
870,I6J27_04465,QRP19655,UDP-glucose/GDP-mannose dehydrogenase family protein
871,I6J27_04470,QRP20116,YibE/F family protein
872,I6J27_04475,QRP19656,pyridoxal phosphate-dependent aminotransferase
873,I6J27_04480,QRP20117,DUF1707 domain-containing protein
874,I6J27_04485,QRP19657,cation:proton antiporter
875,I6J27_04490,QRP19658,(Fe-S)-binding protein
876,I6J27_04495,QRP20280,hypothetical protein
877,I6J27_04500,QRP19659,methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase
878,I6J27_04505,QRP19660,phosphoadenylyl-sulfate reductase
879,I6J27_04510,QRP19661,sulfate adenylyltransferase subunit 2
880,I6J27_04515,QRP19662,sulfate adenylyltransferase
881,I6J27_04520,QRP19663,LppP/LprE family lipoprotein
882,I6J27_04525,QRP19664,LppP/LprE family lipoprotein
883,I6J27_04530,QRP19665,nucleosidase
884,I6J27_04535,QRP19666,AI-2E family transporter
885,I6J27_04540,QRP19667,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
886,I6J27_04545,QRP19668,iron-siderophore ABC transporter substrate-binding protein
887,I6J27_04550,QRP20118,iron ABC transporter permease
888,I6J27_04555,QRP20119,iron chelate uptake ABC transporter family permease subunit
889,I6J27_04560,QRP19669,ABC transporter ATP-binding protein
890,I6J27_04565,QRP19670,molecular chaperone DnaK
891,I6J27_04570,QRP19671,nucleotide exchange factor GrpE
892,I6J27_04575,QRP19672,molecular chaperone DnaJ
893,I6J27_04580,QRP19673,helix-turn-helix transcriptional regulator
894,I6J27_04585,QRP19674,aldehyde dehydrogenase
895,I6J27_04590,QRP19675,hypothetical protein
896,I6J27_04595,QRP19676,hypothetical protein
897,I6J27_04600,QRP20120,carbon-nitrogen hydrolase family protein
898,I6J27_04605,QRP19677,2-polyprenylphenol hydroxylase
899,I6J27_04610,QRP19678,LLM class flavin-dependent oxidoreductase
900,I6J27_04615,QRP19679,ATP-binding cassette domain-containing protein
901,I6J27_04620,QRP19680,ABC transporter permease subunit
902,I6J27_04625,QRP19681,ABC transporter permease
903,I6J27_04630,QRP19682,ABC transporter substrate-binding protein
904,I6J27_04635,QRP19683,ATP-dependent chaperone ClpB
905,I6J27_04640,QRP19684,sulfurtransferase
906,I6J27_04645,QRP20121,hypothetical protein
907,I6J27_04650,QRP19685,orotate phosphoribosyltransferase
908,I6J27_04655,QRP19686,RNA methyltransferase
909,I6J27_04660,QRP19687,glycoside hydrolase family 76
910,I6J27_04665,QRP19688,class II fructose-bisphosphate aldolase
911,I6J27_04670,QRP19689,FUSC family protein
912,I6J27_04675,QRP19690,hypothetical protein
913,I6J27_04680,QRP19691,sodium/glutamate symporter
914,I6J27_04685,QRP19692,adenylosuccinate synthase
915,I6J27_04690,QRP19693,hypothetical protein
916,I6J27_04695,QRP19694,formate-dependent phosphoribosylglycinamide formyltransferase
917,I6J27_04700,QRP19695,GNAT family N-acetyltransferase
918,I6J27_04705,QRP19696,PRD domain-containing protein
919,I6J27_04710,QRP19697,PTS glucose transporter subunit IIA
920,I6J27_04715,QRP19698,phosphate acetyltransferase
921,I6J27_04720,QRP19699,acetate kinase
922,I6J27_04725,QRP19700,hypothetical protein
923,I6J27_04730,QRP19701,serine/threonine protein kinase
924,I6J27_04735,QRP19702,glutamate ABC transporter substrate-binding protein
925,I6J27_04740,QRP20122,hypothetical protein
926,I6J27_04745,QRP19703,NUDIX hydrolase
927,I6J27_04750,QRP19704,ABC transporter ATP-binding protein
928,I6J27_04755,QRP19705,ABC transporter permease
929,I6J27_04760,QRP19706,multidrug effflux MFS transporter
930,I6J27_04765,QRP20123,cardiolipin synthase
931,I6J27_04770,QRP19707,exodeoxyribonuclease III
932,I6J27_04775,QRP19708,GNAT family N-acetyltransferase
933,I6J27_04780,QRP19709,peptide deformylase
934,I6J27_04785,QRP19710,DUF3263 domain-containing protein
935,I6J27_04790,QRP19711,LytR C-terminal domain-containing protein
936,I6J27_04795,QRP19712,glutamate--cysteine ligase
937,I6J27_04800,QRP19713,DUF2029 domain-containing protein
938,I6J27_04805,QRP19714,monovalent cation/H(+) antiporter subunit G
939,I6J27_04810,QRP19715,cation:proton antiporter
940,I6J27_04815,QRP19716,Na+/H+ antiporter subunit E
941,I6J27_04820,QRP19717,Na+/H+ antiporter subunit D
942,I6J27_04825,QRP19718,Na(+)/H(+) antiporter subunit C
943,I6J27_04830,QRP19719,Na+/H+ antiporter subunit A
944,I6J27_04835,QRP19720,dipeptidase
945,I6J27_04840,QRP19721,"oligopeptide transporter, OPT family"
946,I6J27_04845,QRP19722,chaperonin GroEL
947,I6J27_04850,QRP19723,hypothetical protein
948,I6J27_04855,QRP19724,hypothetical protein
949,I6J27_04860,QRP19725,polyphosphate kinase 2
950,I6J27_04865,QRP19726,enoyl-CoA hydratase/isomerase family protein
951,I6J27_04870,QRP20124,amino acid adenylation domain-containing protein
952,I6J27_04875,QRP19727,winged helix DNA-binding protein
953,I6J27_04880,QRP19728,rhodanese-like domain-containing protein
954,I6J27_04885,QRP19729,response regulator transcription factor
955,I6J27_04890,QRP19730,sensor histidine kinase
956,I6J27_04895,QRP19731,ABC transporter ATP-binding protein
957,I6J27_04900,QRP19732,ABC transporter permease
958,I6J27_04905,QRP19733,hypothetical protein
959,I6J27_04910,QRP19734,inorganic diphosphatase
960,I6J27_04915,QRP19735,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
961,I6J27_04920,QRP19736,tRNA lysidine(34) synthetase TilS
962,I6J27_04925,QRP19737,hypoxanthine phosphoribosyltransferase
963,I6J27_04930,QRP19738,ATP-dependent zinc metalloprotease FtsH
964,I6J27_04935,QRP19739,GTP cyclohydrolase I FolE
965,I6J27_04940,QRP19740,dihydropteroate synthase
966,I6J27_04945,QRP19741,dihydroneopterin aldolase
967,I6J27_04950,QRP19742,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
968,I6J27_04955,QRP19743,DUF3180 domain-containing protein
969,I6J27_04960,QRP19744,hypothetical protein
970,I6J27_04965,QRP19745,hypothetical protein
971,I6J27_04970,QRP19746,pantoate--beta-alanine ligase
972,I6J27_04975,QRP19747,2-dehydropantoate 2-reductase
973,I6J27_04980,QRP19748,PhoX family phosphatase
974,I6J27_04985,QRP19749,lysine--tRNA ligase
975,I6J27_04990,QRP19750,multidrug efflux MFS transporter
